iter	Passed	Remaining
0	173	173021
1	174	87157
2	175	58425
3	176	44058
4	178	35437
5	179	29684
6	180	25567
7	181	22480
8	182	20065
9	183	18137
10	184	16563
11	185	15250
12	186	14140
13	187	13192
14	188	12371
15	189	11651
16	190	11013
17	191	10443
18	192	9934
19	193	9481
20	194	9063
21	195	8687
22	196	8343
23	197	8026
24	198	7736
25	199	7467
26	200	7219
27	201	6991
28	202	6778
29	203	6578
30	204	6389
31	205	6215
32	206	6050
33	207	5895
34	208	5745
35	209	5607
36	210	5477
37	211	5354
38	212	5237
39	213	5124
40	214	5017
41	215	4916
42	216	4826
43	217	4734
44	219	4647
45	220	4563
46	220	4480
47	221	4402
48	222	4327
49	224	4256
50	225	4188
51	226	4121
52	227	4056
53	228	3994
54	229	3935
55	230	3878
56	231	3821
57	232	3768
58	233	3717
59	234	3666
60	234	3617
61	235	3570
62	236	3524
63	237	3479
64	238	3437
65	239	3396
66	240	3355
67	241	3310
68	242	3271
69	243	3234
70	244	3198
71	245	3163
72	246	3129
73	247	3096
74	248	3063
75	249	3032
76	250	3001
77	251	2971
78	252	2942
79	253	2913
80	254	2886
81	255	2858
82	256	2831
83	257	2806
84	258	2777
85	259	2752
86	259	2725
87	260	2703
88	261	2680
89	262	2657
90	263	2635
91	264	2613
92	265	2592
93	266	2572
94	267	2551
95	268	2531
96	269	2512
97	270	2493
98	272	2475
99	273	2458
100	274	2440
101	274	2418
102	275	2401
103	276	2385
104	277	2368
105	278	2351
106	279	2335
107	280	2319
108	281	2303
109	282	2288
110	283	2272
111	284	2258
112	285	2243
113	286	2229
114	287	2215
115	288	2200
116	289	2188
117	290	2175
118	291	2160
119	292	2148
120	294	2135
121	295	2124
122	295	2108
123	296	2097
124	297	2085
125	299	2074
126	300	2063
127	300	2049
128	301	2038
129	302	2027
130	304	2017
131	305	2007
132	306	1997
133	307	1987
134	308	1976
135	309	1967
136	310	1957
137	311	1946
138	312	1937
139	313	1927
140	315	1920
141	316	1912
142	317	1903
143	318	1893
144	319	1884
145	320	1875
146	321	1867
147	322	1859
148	324	1851
149	325	1843
150	326	1835
151	327	1827
152	328	1821
153	330	1814
154	331	1806
155	332	1798
156	333	1791
157	334	1784
158	335	1777
159	337	1769
160	338	1761
161	339	1754
162	340	1746
163	341	1739
164	342	1733
165	343	1725
166	344	1718
167	345	1711
168	346	1704
169	347	1697
170	348	1691
171	350	1684
172	351	1678
173	352	1671
174	353	1665
175	354	1659
176	355	1652
177	356	1646
178	357	1640
179	358	1634
180	359	1626
181	360	1620
182	361	1614
183	362	1608
184	363	1602
185	365	1597
186	366	1592
187	367	1586
188	368	1580
189	369	1574
190	370	1569
191	371	1564
192	372	1559
193	374	1553
194	375	1548
195	376	1543
196	377	1538
197	378	1533
198	379	1527
199	380	1522
200	381	1517
201	382	1512
202	383	1507
203	384	1501
204	385	1495
205	386	1490
206	387	1485
207	388	1480
208	389	1475
209	390	1470
210	392	1465
211	393	1461
212	394	1456
213	395	1451
214	396	1446
215	397	1441
216	398	1436
217	399	1432
218	400	1427
219	401	1422
220	402	1418
221	403	1414
222	404	1409
223	405	1404
224	406	1401
225	408	1397
226	409	1393
227	410	1389
228	411	1384
229	412	1381
230	413	1377
231	414	1373
232	415	1369
233	417	1365
234	418	1361
235	419	1357
236	420	1353
237	421	1349
238	422	1345
239	423	1341
240	424	1337
241	425	1333
242	426	1330
243	428	1326
244	429	1322
245	430	1318
246	431	1314
247	432	1310
248	433	1307
249	434	1303
250	435	1300
251	436	1296
252	437	1293
253	439	1289
254	440	1286
255	441	1283
256	442	1279
257	443	1276
258	444	1272
259	445	1268
260	446	1265
261	448	1261
262	449	1258
263	450	1255
264	451	1251
265	452	1248
266	453	1245
267	454	1241
268	455	1238
269	456	1235
270	457	1231
271	459	1228
272	460	1225
273	461	1222
274	462	1219
275	463	1216
276	464	1213
277	465	1209
278	467	1207
279	468	1204
280	469	1200
281	470	1197
282	471	1195
283	472	1192
284	473	1188
285	474	1185
286	476	1182
287	477	1179
288	478	1177
289	479	1173
290	480	1171
291	481	1168
292	483	1165
293	484	1162
294	485	1160
295	486	1157
296	487	1154
297	488	1151
298	490	1148
299	491	1145
300	492	1143
301	493	1140
302	494	1137
303	495	1134
304	496	1131
305	497	1128
306	498	1126
307	499	1123
308	501	1120
309	502	1117
310	503	1114
311	504	1112
312	505	1109
313	506	1107
314	508	1104
315	509	1101
316	510	1099
317	511	1096
318	512	1094
319	513	1091
320	514	1089
321	516	1086
322	517	1084
323	518	1081
324	519	1079
325	520	1076
326	521	1074
327	523	1071
328	524	1069
329	525	1066
330	526	1064
331	527	1061
332	528	1059
333	530	1056
334	531	1054
335	532	1052
336	533	1049
337	534	1047
338	536	1045
339	537	1043
340	538	1040
341	539	1038
342	540	1036
343	541	1033
344	542	1030
345	543	1028
346	544	1025
347	546	1023
348	547	1020
349	548	1017
350	549	1015
351	550	1013
352	551	1010
353	552	1008
354	553	1005
355	555	1004
356	556	1002
357	557	999
358	558	997
359	559	994
360	600	1063
361	602	1061
362	606	1064
363	608	1062
364	616	1072
365	617	1070
366	620	1070
367	622	1068
368	623	1065
369	624	1063
370	625	1060
371	627	1058
372	628	1056
373	629	1053
374	630	1051
375	637	1058
376	641	1060
377	643	1058
378	644	1056
379	645	1053
380	647	1051
381	648	1048
382	650	1047
383	651	1044
384	652	1042
385	653	1039
386	654	1037
387	655	1034
388	657	1031
389	658	1029
390	659	1027
391	660	1024
392	661	1022
393	662	1019
394	664	1017
395	665	1015
396	666	1012
397	667	1010
398	668	1007
399	670	1005
400	671	1002
401	672	1000
402	674	998
403	675	996
404	676	994
405	677	991
406	679	990
407	681	988
408	682	986
409	683	983
410	684	981
411	685	979
412	687	976
413	688	974
414	689	971
415	690	969
416	691	967
417	692	964
418	694	962
419	695	960
420	696	958
421	697	955
422	699	953
423	700	951
424	701	948
425	702	946
426	703	944
427	704	941
428	705	939
429	707	937
430	708	935
431	709	933
432	710	930
433	712	928
434	713	926
435	714	923
436	715	921
437	716	919
438	717	917
439	718	915
440	720	913
441	721	910
442	722	908
443	723	906
444	724	904
445	726	901
446	727	899
447	728	897
448	729	895
449	730	893
450	731	891
451	733	888
452	734	886
453	735	884
454	736	882
455	737	880
456	739	878
457	740	876
458	741	873
459	742	871
460	743	869
461	745	867
462	746	865
463	747	863
464	748	861
465	750	859
466	751	857
467	752	855
468	753	853
469	754	851
470	755	848
471	756	846
472	758	844
473	759	842
474	760	840
475	761	838
476	762	836
477	763	834
478	764	831
479	766	829
480	767	827
481	768	825
482	769	823
483	770	821
484	771	819
485	773	817
486	774	815
487	775	813
488	776	811
489	777	809
490	778	807
491	780	805
492	781	803
493	782	801
494	783	799
495	784	797
496	786	795
497	787	793
498	788	791
499	789	789
500	790	787
501	792	785
502	793	783
503	794	781
504	795	779
505	796	777
506	797	775
507	799	773
508	800	771
509	801	769
510	802	767
511	803	766
512	805	764
513	806	762
514	807	760
515	808	758
516	809	756
517	810	754
518	812	752
519	813	750
520	814	748
521	815	746
522	816	745
523	818	743
524	819	741
525	820	739
